,region,farm_size_ha,barley_variety,variety_maturity,soil_type,soil_ph,organic_matter_percent,nitrogen_content_percent,phosphorus_content_ppm,potassium_content_ppm,growing_season_temp_c,rainfall_mm,sunshine_hours_day,yield_tons_ha
646,Marrakech-Tensift-Al Haouz,7.16,Assiya,Medium,Clay,8.2,1.38,0.19,9.32,120.74,23.37,255.21,8.53,1.32
647,Meknès-Tafilalet,5.69,Assiya,Medium,Loam,7.2,0.85,0.16,10.76,152.89,14.99,381.03,6.94,2.49
648,Rabat-Salé-Zemmour-Zaër,7.67,Amira,Late,Clay,7.2,2.29,0.23,,134.79,20.8,443.97,8.72,1.05
649,Gharb-Chrarda-Beni Hssen,12.51,Massine,Late,Vertisol,7.0,,0.14,18.71,214.39,17.5,521.8,8.56,4.48
650,Chaouia-Ouardigha,13.38,Chifaa,Medium,Vertisol,6.9,1.21,0.13,21.47,126.91,21.62,412.66,7.34,4.1
651,Marrakech-Tensift-Al Haouz,3.02,Assiya,Medium,Sandy,8.7,1.42,0.17,15.07,189.0,,197.53,8.59,4.22
652,Marrakech-Tensift-Al Haouz,10.82,Chifaa,Medium,Loam,8.3,1.57,0.16,9.59,199.76,21.12,185.81,9.0,2.87
653,Meknès-Tafilalet,12.48,Khnata,Early,Loam,7.5,1.17,0.14,16.23,,18.34,442.11,7.88,2.04
654,Gharb-Chrarda-Beni Hssen,1.96,Khnata,Early,Vertisol,7.6,1.46,0.2,16.82,132.94,22.36,,8.36,4.6
655,Chaouia-Ouardigha,11.0,Khnata,Early,Vertisol,6.7,2.22,0.21,10.19,184.68,,365.36,8.21,5.06
656,Fès-Boulemane,2.56,Assiya,Medium,Clay,6.8,1.25,0.23,12.07,207.81,14.54,279.99,6.72,1.69
657,Gharb-Chrarda-Beni Hssen,5.55,Assiya,Medium,Clay,6.5,2.15,0.25,32.19,185.69,,410.11,7.5,3.43
659,Marrakech-Tensift-Al Haouz,11.36,Massine,Late,Sandy,8.1,2.91,0.2,22.05,204.36,19.65,253.88,8.08,1.84
660,Gharb-Chrarda-Beni Hssen,9.94,Assiya,Medium,Vertisol,7.2,1.58,0.15,21.68,134.26,18.37,439.1,7.08,4.67
661,Tanger-Tétouan,9.5,Assiya,Medium,Loam,,1.68,0.2,12.63,160.67,19.58,372.69,9.36,3.69
662,Marrakech-Tensift-Al Haouz,5.61,Khnata,Early,Sandy,7.4,1.22,0.16,17.34,196.4,22.72,274.51,8.93,2.08
663,Doukkala-Abda,26.04,Khnata,Early,Vertisol,7.9,1.28,0.25,29.44,106.38,19.85,360.01,7.18,2.55
664,Chaouia-Ouardigha,16.78,Amira,Late,Vertisol,7.3,1.21,0.2,24.89,189.83,22.08,335.58,8.63,5.83
665,Doukkala-Abda,29.48,Assiya,Medium,Clay,7.9,1.05,0.24,17.63,163.46,21.38,352.03,7.31,5.24
666,Doukkala-Abda,20.85,Chifaa,Medium,Vertisol,6.6,1.48,0.22,15.99,205.07,,430.48,7.32,5.4
667,Doukkala-Abda,8.16,Khnata,Early,Vertisol,7.7,0.91,0.23,28.89,104.08,20.17,263.17,7.64,3.3
668,Doukkala-Abda,21.9,Khnata,Early,Vertisol,,1.88,0.22,31.64,138.9,19.44,300.25,7.26,4.12
669,Fès-Boulemane,5.21,Assiya,Medium,Loam,7.3,,0.16,22.39,196.6,18.04,354.8,7.07,2.88
670,Doukkala-Abda,22.16,Khnata,Early,Vertisol,7.8,1.67,,28.57,82.69,20.22,326.08,6.54,1.39
671,Souss-Massa-Drâa,1.51,Khnata,Early,Sandy,8.0,1.31,0.14,24.22,95.71,22.12,260.27,9.45,3.01
672,Chaouia-Ouardigha,9.37,Amira,Late,Vertisol,6.9,,0.08,16.69,218.68,18.81,452.45,7.9,3.97
673,Gharb-Chrarda-Beni Hssen,12.91,Khnata,Early,Vertisol,7.2,2.34,0.17,33.28,119.26,21.65,486.28,8.05,2.44
674,Gharb-Chrarda-Beni Hssen,3.79,Amira,Late,Vertisol,6.7,1.62,0.17,34.36,216.58,22.59,478.34,8.58,5.24
675,Tanger-Tétouan,12.64,Khnata,Early,Clay,8.1,1.36,,22.4,105.55,21.92,259.86,6.42,1.76
676,Chaouia-Ouardigha,11.98,Khnata,Early,Sandy,7.1,1.16,0.25,13.27,130.55,20.28,317.37,7.57,2.84
677,Gharb-Chrarda-Beni Hssen,,Assiya,Medium,Vertisol,7.5,1.75,,18.92,185.4,21.49,423.26,5.64,1.62
679,Souss-Massa-Drâa,7.93,Assiya,Medium,Clay,,2.04,0.14,,161.36,19.96,286.32,8.03,1.2
680,Souss-Massa-Drâa,4.93,Chifaa,Medium,Sandy,7.7,1.23,0.15,22.92,154.19,22.97,277.3,7.61,2.36
681,Doukkala-Abda,10.32,Khnata,Early,Sandy,7.9,1.97,0.14,17.0,198.08,20.52,374.24,9.83,3.0
682,Doukkala-Abda,5.83,Chifaa,Medium,Vertisol,7.1,1.93,0.22,20.15,112.89,,305.35,6.64,3.39
683,Meknès-Tafilalet,4.91,Khnata,Early,Sandy,7.8,0.99,0.17,20.78,141.95,16.35,351.08,8.87,3.72
684,Tadla-Azilal,9.97,Amira,Late,Vertisol,7.3,1.06,0.18,9.61,101.76,21.02,208.49,9.01,2.37
685,Marrakech-Tensift-Al Haouz,14.11,Amira,Late,Loam,7.2,2.52,0.23,13.45,163.43,23.92,267.4,8.54,3.62
686,Marrakech-Tensift-Al Haouz,13.13,Massine,Late,Clay,7.8,2.2,0.22,14.58,115.08,20.76,269.55,7.9,3.55
687,Fès-Boulemane,11.61,Assiya,Medium,Clay,6.9,1.49,0.1,18.58,126.74,22.77,425.93,8.5,2.58
688,Rabat-Salé-Zemmour-Zaër,11.93,Khnata,Early,Sandy,7.5,2.33,0.2,10.69,145.98,19.65,410.96,6.9,5.15
689,Doukkala-Abda,21.62,Khnata,Early,Vertisol,6.9,1.25,0.15,32.21,83.75,19.12,306.5,5.45,3.73
690,Fès-Boulemane,4.27,Chifaa,Medium,Clay,8.0,1.67,0.13,15.61,92.87,16.88,357.91,7.32,2.66
691,Gharb-Chrarda-Beni Hssen,13.65,Assiya,Medium,Clay,7.2,1.84,,33.34,176.03,,420.93,7.49,5.74
692,Gharb-Chrarda-Beni Hssen,10.23,Chifaa,Medium,Clay,7.1,1.18,0.16,24.36,140.06,16.47,401.38,6.92,5.23
693,Doukkala-Abda,19.01,Khnata,Early,Clay,7.8,0.97,0.14,20.5,201.07,20.84,406.31,8.41,5.91
694,Chaouia-Ouardigha,7.77,Assiya,Medium,Vertisol,7.5,1.51,0.12,10.41,177.25,21.36,318.68,7.37,4.46
696,Fès-Boulemane,7.18,Massine,Late,Loam,7.1,,0.21,17.05,166.34,17.65,300.41,6.25,2.4
697,Marrakech-Tensift-Al Haouz,13.04,Amira,Late,Sandy,7.3,1.07,,9.82,93.12,20.7,292.7,8.53,4.32
698,Doukkala-Abda,18.67,Massine,Late,Vertisol,7.2,1.19,0.09,22.83,189.33,19.37,338.65,5.25,5.9
699,Gharb-Chrarda-Beni Hssen,6.02,Khnata,Early,Vertisol,7.0,2.63,0.22,26.79,218.81,19.72,418.63,7.28,4.13
700,Marrakech-Tensift-Al Haouz,14.66,Amira,Late,Sandy,8.0,1.6,0.08,12.69,154.37,22.33,249.01,8.55,5.41
701,Chaouia-Ouardigha,7.77,Amira,Late,Clay,7.1,1.5,0.24,10.98,175.59,20.74,320.8,7.07,2.65
702,Fès-Boulemane,6.63,Assiya,Medium,Loam,7.8,1.85,0.19,,113.22,20.76,399.62,8.06,3.03
703,Chaouia-Ouardigha,6.05,Chifaa,Medium,Sandy,7.0,1.69,0.13,24.1,141.26,22.21,405.7,8.03,5.53
705,Tanger-Tétouan,13.81,Chifaa,Medium,Loam,8.1,,0.08,10.65,103.44,23.02,312.17,8.43,5.91
706,Fès-Boulemane,4.56,Amira,Late,Sandy,7.7,1.33,0.12,24.32,117.17,18.75,377.26,7.67,4.87
707,Souss-Massa-Drâa,12.95,Khnata,Early,Sandy,8.0,0.98,0.1,,142.36,20.47,240.87,8.79,3.24
708,Doukkala-Abda,12.31,Khnata,Early,Sandy,7.2,1.33,0.18,34.55,179.71,20.51,314.9,6.78,3.66
709,Meknès-Tafilalet,13.71,Massine,Late,Clay,7.2,1.89,0.11,8.08,132.62,20.35,291.33,,5.5
710,Rabat-Salé-Zemmour-Zaër,11.43,Khnata,Early,Sandy,7.1,2.85,0.17,22.85,209.88,19.91,405.75,6.73,3.76
711,Marrakech-Tensift-Al Haouz,12.17,Amira,Late,Sandy,7.8,,0.18,13.22,93.22,22.16,209.68,,2.28
712,Gharb-Chrarda-Beni Hssen,0.76,Amira,Late,Vertisol,7.4,1.3,0.13,33.77,131.91,23.7,412.67,7.96,3.18
713,Gharb-Chrarda-Beni Hssen,14.46,Amira,Late,Clay,7.1,2.74,0.09,21.34,179.25,20.75,499.72,8.07,3.58
714,Fès-Boulemane,11.04,Massine,Late,Clay,6.8,0.8,0.09,,111.64,17.75,227.69,8.48,1.48
715,Tadla-Azilal,4.92,Assiya,Medium,Vertisol,8.4,1.86,0.08,9.36,171.9,18.1,369.78,7.66,4.72
716,Souss-Massa-Drâa,12.53,Assiya,Medium,Sandy,8.1,1.35,0.21,12.12,102.99,20.63,225.05,8.71,1.55
717,Tanger-Tétouan,4.58,Khnata,Early,Clay,6.8,1.78,0.13,21.15,87.84,19.5,404.54,8.52,3.02
718,Chaouia-Ouardigha,26.82,Assiya,Medium,Vertisol,7.1,0.97,0.22,16.99,96.94,18.21,325.33,6.44,5.02
719,Meknès-Tafilalet,2.13,Khnata,Early,Clay,7.6,1.97,0.15,23.78,210.2,17.95,412.44,6.84,3.34
720,Tadla-Azilal,10.7,Assiya,Medium,Clay,8.4,0.91,0.16,15.29,157.25,20.63,274.01,7.91,5.21
721,Doukkala-Abda,18.52,Chifaa,Medium,Vertisol,6.9,1.23,0.17,32.4,191.49,22.1,400.04,4.68,2.71
722,Chaouia-Ouardigha,7.41,Massine,Late,Vertisol,7.5,1.1,0.2,15.63,126.57,21.68,426.37,7.07,5.79
723,Meknès-Tafilalet,4.01,Khnata,Early,Clay,8.2,0.8,0.13,24.65,,17.87,370.37,7.56,2.05
724,Marrakech-Tensift-Al Haouz,0.68,Assiya,Medium,Sandy,7.7,1.54,0.1,24.32,149.29,26.78,278.05,9.58,1.19
725,Souss-Massa-Drâa,7.3,Massine,Late,Sandy,7.9,2.22,0.17,13.6,212.4,20.63,217.48,8.61,5.36
726,Chaouia-Ouardigha,12.53,Khnata,Early,Vertisol,6.9,2.57,0.14,23.06,184.66,21.48,282.53,7.64,4.76
727,Rabat-Salé-Zemmour-Zaër,9.18,Khnata,Early,Sandy,7.4,2.25,0.16,22.41,,20.15,457.56,6.65,2.16
729,Doukkala-Abda,12.5,Amira,Late,Sandy,7.8,1.59,0.16,27.49,156.95,19.9,362.2,7.11,3.51
730,Doukkala-Abda,23.58,Khnata,Early,Sandy,8.0,1.7,0.19,16.45,145.38,21.25,365.64,6.39,5.76
731,Souss-Massa-Drâa,1.2,Massine,Late,Sandy,7.7,1.36,0.17,22.22,209.9,23.98,252.31,8.96,3.53
732,Meknès-Tafilalet,13.59,Assiya,Medium,Loam,6.5,1.58,0.21,10.97,116.03,19.28,395.22,7.95,3.36
733,Gharb-Chrarda-Beni Hssen,12.86,Assiya,Medium,Vertisol,7.2,2.47,0.2,16.42,117.78,16.36,500.24,5.95,3.25
734,Gharb-Chrarda-Beni Hssen,10.18,Khnata,Early,Vertisol,7.3,1.91,0.17,23.0,137.59,17.29,432.4,7.9,2.67
735,Souss-Massa-Drâa,9.1,Assiya,Medium,Sandy,8.1,1.47,0.2,17.81,114.07,,258.04,8.78,3.67
736,Gharb-Chrarda-Beni Hssen,13.44,Amira,Late,Vertisol,7.1,2.17,0.23,32.1,98.09,23.8,522.01,6.88,3.26
737,Souss-Massa-Drâa,3.19,Chifaa,Medium,Sandy,8.0,1.83,0.15,24.56,200.04,22.53,281.97,7.97,1.18
738,Gharb-Chrarda-Beni Hssen,1.65,Chifaa,Medium,Vertisol,7.7,1.67,0.15,23.79,158.16,21.02,463.31,7.54,2.3
739,Gharb-Chrarda-Beni Hssen,3.97,Amira,Late,Vertisol,7.3,2.17,0.21,16.21,200.59,18.93,487.97,6.67,2.07
740,Gharb-Chrarda-Beni Hssen,12.02,Massine,Late,Loam,7.1,3.16,0.18,29.98,196.36,19.6,463.99,7.42,5.34
741,Fès-Boulemane,1.0,Chifaa,Medium,Clay,7.2,1.97,,17.61,119.49,18.53,427.18,6.07,3.99
742,Meknès-Tafilalet,8.95,Chifaa,Medium,Clay,7.4,2.04,0.23,15.61,156.68,,375.85,7.3,4.82
743,Gharb-Chrarda-Beni Hssen,14.93,Khnata,Early,Loam,7.7,2.21,0.09,21.19,91.65,20.43,476.9,8.27,5.78
745,Souss-Massa-Drâa,8.06,Khnata,Early,Sandy,8.0,1.9,0.21,13.76,136.6,21.76,316.71,7.6,5.91
746,Gharb-Chrarda-Beni Hssen,1.42,Amira,Late,Clay,7.1,2.98,0.24,30.14,135.11,19.57,363.16,7.03,2.56
747,Marrakech-Tensift-Al Haouz,12.55,Assiya,Medium,Loam,8.4,0.8,0.09,17.25,122.39,22.51,189.4,8.62,1.93
748,Tadla-Azilal,9.19,Assiya,Medium,Clay,8.5,0.97,0.18,22.91,144.49,20.82,511.42,7.0,3.02
749,Marrakech-Tensift-Al Haouz,,Chifaa,Medium,Sandy,8.2,2.02,0.15,17.24,115.25,21.15,215.01,8.15,3.35
750,Chaouia-Ouardigha,7.35,Chifaa,Medium,Vertisol,7.2,1.39,0.14,12.05,132.48,22.3,306.51,7.13,5.48
751,Tadla-Azilal,,Massine,Late,Loam,7.5,1.23,0.1,22.47,,21.27,387.51,6.12,3.8
752,Marrakech-Tensift-Al Haouz,10.2,Assiya,Medium,Clay,7.0,1.0,0.18,17.47,196.8,24.67,275.52,8.95,2.46
753,Fès-Boulemane,12.52,Amira,Late,Clay,7.9,1.28,0.16,11.52,122.59,19.74,422.59,9.21,4.71
754,Chaouia-Ouardigha,26.97,Khnata,Early,Sandy,7.2,0.94,0.1,18.6,145.66,20.79,296.84,8.4,3.53
755,Rabat-Salé-Zemmour-Zaër,,Khnata,Early,Loam,7.7,3.25,0.18,14.08,202.33,,431.65,6.49,1.81
756,Marrakech-Tensift-Al Haouz,8.0,Khnata,Early,Sandy,7.7,1.49,0.21,22.35,87.37,17.38,224.25,8.82,3.88
757,Marrakech-Tensift-Al Haouz,6.74,Assiya,Medium,Clay,,1.48,0.21,15.71,204.48,23.67,294.96,8.81,5.56
758,Souss-Massa-Drâa,5.1,Assiya,Medium,Sandy,7.8,,0.23,20.35,110.69,20.37,334.23,9.33,5.21
759,Rabat-Salé-Zemmour-Zaër,6.8,Chifaa,Medium,Sandy,8.0,2.68,0.15,9.62,175.0,21.38,458.48,8.29,3.93
760,Doukkala-Abda,24.35,Khnata,Early,Vertisol,7.3,1.88,0.24,22.92,161.56,19.06,259.64,8.26,2.89
761,Fès-Boulemane,9.23,Amira,Late,Sandy,8.5,1.93,0.23,24.72,157.41,17.16,307.78,,1.43
762,Doukkala-Abda,27.31,Assiya,Medium,Sandy,7.7,1.25,0.13,31.17,200.31,21.16,353.05,8.01,3.35
763,Meknès-Tafilalet,,Khnata,Early,Clay,6.9,1.38,0.11,10.72,94.22,18.34,327.65,5.61,4.76
764,Chaouia-Ouardigha,20.18,Assiya,Medium,Clay,7.2,1.81,0.15,12.72,128.58,18.77,385.97,6.84,2.8
765,Marrakech-Tensift-Al Haouz,9.65,Khnata,Early,Clay,7.7,,0.15,13.61,155.36,20.71,166.52,8.02,2.18
766,Rabat-Salé-Zemmour-Zaër,9.08,Amira,Late,Loam,6.4,2.2,0.18,19.06,193.58,19.47,453.96,6.41,5.66
767,Souss-Massa-Drâa,10.69,Assiya,Medium,Sandy,8.6,1.66,0.18,20.87,110.3,20.57,244.21,8.58,5.11
769,Souss-Massa-Drâa,7.93,Khnata,Early,Sandy,8.2,0.8,0.17,16.67,135.95,20.1,212.81,8.54,1.68
770,Chaouia-Ouardigha,7.61,Assiya,Medium,Vertisol,7.2,1.79,0.1,21.78,106.45,14.66,393.21,,1.72
771,Souss-Massa-Drâa,6.08,Massine,Late,Sandy,7.4,1.41,0.23,15.43,186.26,22.78,267.11,8.01,1.52
772,Chaouia-Ouardigha,17.19,Assiya,Medium,Vertisol,7.1,1.78,0.13,10.11,92.73,18.73,294.77,7.7,4.08
773,Gharb-Chrarda-Beni Hssen,9.96,Amira,Late,Clay,7.5,2.59,0.25,26.29,152.07,22.73,511.61,5.93,1.58
774,Rabat-Salé-Zemmour-Zaër,14.28,Amira,Late,Loam,7.0,3.0,0.1,24.19,88.94,20.07,458.35,7.01,5.21
775,Chaouia-Ouardigha,20.02,Massine,Late,Vertisol,6.4,2.04,0.24,21.48,129.9,21.32,368.79,,5.96
776,Doukkala-Abda,23.59,Chifaa,Medium,Vertisol,7.4,2.04,0.1,26.57,164.15,18.4,459.01,7.56,2.83
777,Meknès-Tafilalet,7.84,Amira,Late,Clay,7.4,2.08,0.12,19.0,157.86,20.7,397.74,8.41,3.27
778,Meknès-Tafilalet,9.69,Amira,Late,Sandy,7.6,1.62,0.09,23.82,136.65,19.4,322.6,8.66,4.56
779,Meknès-Tafilalet,1.53,Chifaa,Medium,Clay,7.9,1.51,0.2,15.28,140.07,15.29,300.95,7.57,5.69
780,Meknès-Tafilalet,4.19,Assiya,Medium,Sandy,7.8,1.85,0.22,13.63,111.75,15.89,499.12,6.78,5.47
781,Marrakech-Tensift-Al Haouz,5.75,Assiya,Medium,Sandy,8.1,1.79,0.15,24.61,143.82,22.2,201.11,8.79,1.29
782,Doukkala-Abda,16.81,Khnata,Early,Vertisol,8.1,1.38,0.24,32.27,213.46,16.68,436.29,6.68,1.85
784,Doukkala-Abda,8.5,Chifaa,Medium,Vertisol,7.8,,0.19,24.28,100.33,18.94,312.03,8.89,4.44
785,Tadla-Azilal,4.51,Khnata,Early,Vertisol,7.8,1.16,0.22,15.06,84.17,22.53,242.66,7.94,1.67
786,Marrakech-Tensift-Al Haouz,14.59,Amira,Late,Loam,7.5,2.02,0.13,10.53,210.69,20.88,296.53,7.07,3.51
787,Gharb-Chrarda-Beni Hssen,5.3,Assiya,Medium,Vertisol,6.7,2.23,0.14,34.16,153.74,19.96,468.79,5.27,4.9
788,Gharb-Chrarda-Beni Hssen,7.49,Khnata,Early,Vertisol,7.0,3.22,0.23,23.09,155.3,19.03,533.9,6.02,2.09
789,Tadla-Azilal,3.34,Massine,Late,Vertisol,7.2,0.85,0.23,22.88,189.3,20.19,326.03,7.21,5.36
790,Doukkala-Abda,20.27,Khnata,Early,Vertisol,7.9,,0.25,18.79,124.06,17.28,,6.2,1.26
791,Marrakech-Tensift-Al Haouz,4.57,Khnata,Early,Sandy,7.8,1.51,0.23,17.31,147.47,21.29,168.23,8.52,4.91
792,Gharb-Chrarda-Beni Hssen,3.5,Amira,Late,Vertisol,6.9,2.77,0.1,15.48,215.61,17.63,468.89,8.11,4.08
793,Marrakech-Tensift-Al Haouz,7.99,Amira,Late,Sandy,7.8,1.66,0.22,20.99,174.1,24.63,240.77,9.57,2.58
794,Chaouia-Ouardigha,5.14,Khnata,Early,Sandy,7.5,1.62,0.15,17.88,101.52,,473.29,7.18,4.6
795,Souss-Massa-Drâa,0.61,Amira,Late,Sandy,8.0,1.05,0.25,18.64,98.65,23.72,258.02,8.64,4.91
796,Tadla-Azilal,3.68,Assiya,Medium,Clay,7.4,1.04,0.16,8.88,108.6,22.6,443.52,8.08,5.67
797,Marrakech-Tensift-Al Haouz,1.03,Khnata,Early,Clay,8.0,1.63,0.17,11.59,187.34,18.71,229.38,8.87,2.84
798,Meknès-Tafilalet,2.07,Khnata,Early,Clay,8.1,0.95,0.17,9.26,121.35,21.51,351.97,9.05,4.43
799,Tadla-Azilal,5.41,Amira,Late,Clay,7.1,1.29,0.13,12.91,82.99,22.76,354.46,9.28,4.01
800,Meknès-Tafilalet,12.14,Khnata,Early,Loam,8.2,1.7,0.09,18.67,212.18,22.94,337.13,7.47,3.63
801,Doukkala-Abda,19.3,Massine,Late,Vertisol,7.6,1.11,0.23,26.32,103.76,21.56,355.12,7.15,5.45
802,Marrakech-Tensift-Al Haouz,7.93,Chifaa,Medium,Clay,7.9,2.14,0.22,18.41,,24.11,182.2,,1.02
803,Marrakech-Tensift-Al Haouz,4.76,Massine,Late,Loam,9.0,1.99,0.1,17.34,113.2,22.55,284.61,7.94,2.41
804,Gharb-Chrarda-Beni Hssen,14.01,Khnata,Early,Vertisol,6.9,1.41,0.21,20.46,112.9,21.25,495.38,8.97,3.69
805,Meknès-Tafilalet,6.26,Massine,Late,Clay,7.3,1.13,0.19,12.16,139.08,20.18,398.24,6.83,1.89
806,Tadla-Azilal,1.76,Assiya,Medium,Clay,6.9,0.8,0.15,10.33,208.85,23.54,457.98,6.81,5.54
807,Tadla-Azilal,,Assiya,Medium,Clay,8.0,1.19,0.12,,203.09,19.01,367.77,6.65,4.24
808,Gharb-Chrarda-Beni Hssen,2.15,Khnata,Early,Clay,7.7,2.58,0.23,27.33,143.97,21.29,401.91,8.41,3.39
809,Chaouia-Ouardigha,13.63,Khnata,Early,Sandy,7.7,1.33,0.2,11.17,137.53,20.78,260.66,6.81,5.07
810,Tanger-Tétouan,7.86,Amira,Late,Loam,8.1,1.68,0.17,,157.7,18.33,381.3,6.75,3.25
811,Souss-Massa-Drâa,13.18,Assiya,Medium,Sandy,7.9,0.89,0.18,22.84,114.08,23.73,264.08,7.32,3.79
812,Chaouia-Ouardigha,17.34,Khnata,Early,Clay,7.1,1.82,0.1,20.63,87.31,17.88,312.64,,1.01
813,Tadla-Azilal,10.68,Amira,Late,Loam,6.7,1.28,,19.21,211.49,18.11,314.78,8.3,2.83
814,Souss-Massa-Drâa,14.9,Khnata,Early,Sandy,8.8,1.5,0.11,14.92,106.14,21.53,287.86,6.72,1.69
815,Gharb-Chrarda-Beni Hssen,2.41,Amira,Late,Vertisol,7.3,2.15,,20.24,107.78,21.48,373.62,7.51,4.45
816,Marrakech-Tensift-Al Haouz,4.48,Assiya,Medium,Sandy,7.8,0.99,0.19,24.65,146.14,23.81,231.87,7.97,3.4
817,Gharb-Chrarda-Beni Hssen,6.22,Chifaa,Medium,Loam,7.6,1.62,0.23,30.94,148.83,24.16,487.11,6.8,2.51
818,Chaouia-Ouardigha,15.55,Chifaa,Medium,Vertisol,6.9,1.89,0.15,13.13,82.58,21.01,366.92,7.89,3.34
819,Fès-Boulemane,6.46,Assiya,Medium,Loam,7.7,1.66,0.12,22.41,100.71,18.75,346.88,7.77,2.05
820,Souss-Massa-Drâa,13.66,Assiya,Medium,Sandy,7.9,1.92,0.19,20.9,132.94,24.27,,7.45,5.63
821,Chaouia-Ouardigha,22.85,Assiya,Medium,Vertisol,7.4,1.63,0.23,13.05,175.72,21.48,417.02,,1.27
822,Fès-Boulemane,9.31,Chifaa,Medium,Clay,7.5,1.56,0.21,15.25,111.98,17.81,345.66,5.63,5.33
823,Gharb-Chrarda-Beni Hssen,4.99,Assiya,Medium,Loam,6.8,1.34,,18.72,139.22,18.22,387.88,6.77,3.56
824,Marrakech-Tensift-Al Haouz,12.44,Khnata,Early,Sandy,,1.39,0.17,9.89,,21.28,154.9,8.02,4.09
825,Tadla-Azilal,14.35,Khnata,Early,Clay,8.0,1.49,0.21,20.29,204.4,21.26,386.37,9.72,2.51
826,Fès-Boulemane,12.41,Assiya,Medium,Clay,7.5,,0.1,12.55,125.65,17.59,324.74,7.45,5.83
827,Fès-Boulemane,0.52,Assiya,Medium,Clay,7.9,1.77,0.14,21.94,98.7,18.18,299.54,7.46,2.41
828,Meknès-Tafilalet,,Chifaa,Medium,Clay,7.0,2.11,0.15,24.93,148.5,21.37,393.1,6.01,3.94
830,Doukkala-Abda,11.44,Assiya,Medium,Vertisol,7.2,,0.24,24.46,95.38,19.35,352.39,7.25,5.41
831,Gharb-Chrarda-Beni Hssen,1.36,Chifaa,Medium,Vertisol,7.4,2.26,0.23,31.04,139.46,17.94,360.75,6.73,3.68
832,Chaouia-Ouardigha,20.09,Chifaa,Medium,Vertisol,7.2,1.59,0.1,21.41,82.49,18.34,368.01,7.59,5.95
834,Gharb-Chrarda-Beni Hssen,2.16,Assiya,Medium,Loam,7.5,2.01,0.14,21.98,147.61,19.71,429.39,6.87,2.04
835,Gharb-Chrarda-Beni Hssen,6.07,Assiya,Medium,Loam,7.4,2.1,0.13,24.08,121.75,19.03,458.69,6.86,3.03
836,Tadla-Azilal,7.12,Massine,Late,Clay,7.6,2.14,0.18,18.11,198.32,24.15,330.91,6.76,2.67
837,Gharb-Chrarda-Beni Hssen,5.85,Khnata,Early,Vertisol,6.9,1.16,0.23,34.48,164.3,19.91,504.91,6.81,2.72
838,Marrakech-Tensift-Al Haouz,2.25,Massine,Late,Loam,8.0,1.98,0.24,13.57,143.55,18.44,,8.08,4.8
839,Meknès-Tafilalet,6.57,Amira,Late,Clay,7.2,1.13,0.19,23.69,137.11,17.41,376.45,6.68,3.92
840,Chaouia-Ouardigha,23.78,Assiya,Medium,Sandy,7.1,0.95,0.22,,149.61,21.63,301.93,,1.19
841,Meknès-Tafilalet,1.53,Khnata,Early,Sandy,7.3,1.97,0.17,24.81,85.66,18.91,394.71,7.1,5.39
842,Doukkala-Abda,7.0,Assiya,Medium,Vertisol,7.0,1.79,0.12,28.41,204.99,22.67,356.66,4.89,2.48
844,Chaouia-Ouardigha,28.54,Khnata,Early,Clay,7.0,1.82,0.17,18.43,105.41,21.34,301.81,7.46,5.77
845,Gharb-Chrarda-Beni Hssen,,Amira,Late,Vertisol,7.3,3.23,,20.45,96.85,18.34,497.8,9.09,5.7
846,Chaouia-Ouardigha,21.97,Massine,Late,Vertisol,6.8,1.72,0.12,12.66,100.1,23.5,367.28,7.56,5.06
847,Tanger-Tétouan,5.75,Amira,Late,Loam,7.5,1.44,0.14,9.93,172.54,19.52,287.49,7.21,2.1
848,Gharb-Chrarda-Beni Hssen,9.11,Amira,Late,Vertisol,7.8,2.37,0.14,,172.6,20.15,472.1,6.71,3.66
849,Marrakech-Tensift-Al Haouz,0.65,Khnata,Early,Clay,8.4,2.0,0.24,13.91,198.71,22.26,,8.73,2.12
850,Chaouia-Ouardigha,20.9,Assiya,Medium,Sandy,7.7,1.19,0.16,20.97,185.26,19.93,473.09,8.26,2.3
851,Meknès-Tafilalet,13.74,Khnata,Early,Sandy,7.7,1.24,0.21,18.34,142.96,20.61,331.6,8.65,4.05
852,Doukkala-Abda,20.31,Amira,Late,Vertisol,8.1,1.38,0.21,17.05,165.8,20.41,379.93,6.18,1.2
853,Souss-Massa-Drâa,13.17,Massine,Late,Sandy,7.7,0.8,0.13,22.49,176.36,22.41,291.09,,5.85
854,Doukkala-Abda,23.1,Amira,Late,Sandy,7.2,1.56,0.18,27.03,151.78,17.83,404.11,9.13,5.59
855,Doukkala-Abda,8.01,Khnata,Early,Vertisol,6.1,0.8,0.23,34.22,146.59,19.87,378.84,7.35,2.9
856,Chaouia-Ouardigha,27.56,Assiya,Medium,Vertisol,7.6,1.52,0.16,19.39,170.31,22.74,358.64,7.6,3.58
857,Gharb-Chrarda-Beni Hssen,1.46,Amira,Late,Loam,7.7,2.63,0.24,18.5,158.05,20.03,431.56,9.28,3.33
858,Marrakech-Tensift-Al Haouz,8.24,Assiya,Medium,Loam,7.8,1.31,0.12,16.05,170.15,21.96,255.88,9.67,5.41
859,Chaouia-Ouardigha,8.55,Chifaa,Medium,Vertisol,7.1,2.17,0.09,19.02,165.8,22.05,337.68,6.59,4.44
